fid,genus,species,cultivar,dbh,street,park,id,fullname,Site_1,Present,dbh_2025,height2025,Measured,Comments,Measured_height,Measured_DBH
26902,Fraxinus,pennsylvanica,,19,,"PELICAN, LE","28040",Fraxinus pennsylvanica,(PELI-2),,,,,,,
26903,Fraxinus,pennsylvanica,,22,,"PELICAN, LE","28041",Fraxinus pennsylvanica,(PELI-2),,,,,,,
26904,Acer,saccharinum,,6,,"PELICAN, LE","28042",Acer saccharinum,(PELI-2),,,,,,,
26905,Ulmus,americana,brandon,6,,"PELICAN, LE","28043",Ulmus americana,(PELI-2),,,,,,,
26906,Acer,saccharinum,,44,,"PELICAN, LE","28044",Acer saccharinum,(PELI-2),,,,,,,
26907,Acer,saccharinum,,41,,"PELICAN, LE","28045",Acer saccharinum,(PELI-2),,,,,,,
26908,Acer,saccharinum,,43,,"PELICAN, LE","28046",Acer saccharinum,(PELI-2),,,,,,,
26909,Magnolia,sp.,,5,,"PELICAN, LE","28047",Magnolia sp,(PELI-2),,,,,,,
26910,Gymnocladus,dioicus,,8,,"PELICAN, LE","28048",Gymnocladus dioicus,(PELI-2),,,,,,,
26911,Gleditsia,triacanthos,,15,,"PELICAN, LE","28049",Gleditsia triacanthos,(PELI-2),,,,,,,
26912,Acer,saccharinum,,31,,"PELICAN, LE","28050",Acer saccharinum,(PELI-2),,,,,,,
26913,Gleditsia,triacanthos,,22,,"PELICAN, LE","28051",Gleditsia triacanthos,(PELI-2),,,,,,,
26914,Gymnocladus,dioicus,,9,,"PELICAN, LE","28052",Gymnocladus dioicus,(PELI-1),,,,,,,
26915,Gymnocladus,dioicus,,11,,"PELICAN, LE","28053",Gymnocladus dioicus,(PELI-1),,,,,,,
26916,Fraxinus,pennsylvanica,patmore,53,,"PELICAN, LE","28055",Fraxinus pennsylvanica,(PELI-1),,,,,,,
26917,Fraxinus,pennsylvanica,,30,,"PELICAN, LE","28056",Fraxinus pennsylvanica,(PELI-1),,,,,,,
26918,Acer,saccharinum,,56,,"PELICAN, LE","28057",Acer saccharinum,(PELI-1),,,,,,,
26919,Acer,saccharum,,46,,"PELICAN, LE","28058",Acer saccharum,(PELI-1),,,,,,,
26920,Quercus,robur,,39,,"PELICAN, LE","28059",Quercus robur,(PELI-1),,,,,,,
26921,Acer,platanoides,,46,,"PELICAN, LE","28060",Acer platanoides,(PELI-1),,,,,,,
26922,Acer,platanoides,,30,,"PELICAN, LE","28061",Acer platanoides,(PELI-1),,,,,,,
26923,Acer,saccharinum,,66,,"PELICAN, LE","28062",Acer saccharinum,(PELI-1),,,,,,,
26924,Fraxinus,pennsylvanica,,17,,"PELICAN, LE","28063",Fraxinus pennsylvanica,(PELI-1),,,,,,,
26925,Juglans,cinerea,,7,,"PELICAN, LE","28064",Juglans cinerea,(PELI-2),,,,,,,
26926,Gymnocladus,dioicus,,5,,"PELICAN, LE","28065",Gymnocladus dioicus,(PELI-2),,,,,,,
26927,Gleditsia,triacanthos,,17,,"PELICAN, LE","28066",Gleditsia triacanthos,(PELI-2),,,,,,,
26942,Gymnocladus,dioicus,,23,,"PELICAN, LE","28081",Gymnocladus dioicus,(PELI-1),,,,,,,
26943,Gymnocladus,dioicus,,19,,"PELICAN, LE","28082",Gymnocladus dioicus,(PELI-1),,,,,,,
26944,Gymnocladus,dioicus,,22,,"PELICAN, LE","28083",Gymnocladus dioicus,(PELI-1),,,,,,,
26945,Gymnocladus,dioicus,,18,,"PELICAN, LE","28084",Gymnocladus dioicus,(PELI-1),,,,,,,
26946,Acer,saccharinum,,45,,"PELICAN, LE","28085",Acer saccharinum,(PELI-2),,,,,,,
26947,Acer,saccharinum,,42,,"PELICAN, LE","28086",Acer saccharinum,(PELI-2),,,,,,,
27167,Prunus,domestica,mont-royal,5,,"PELICAN, LE","28306",Prunus domestica,(PELI-1),,,,,,,
27170,Prunus,multifruits,3 dans,5,,"PELICAN, LE","28309",Prunus multifruits,(PELI-1),,,,,,,
27978,Pinus,nigra,austriaca,5,,"PELICAN, LE","29153",Pinus nigra,(PELI-2),,,,,,,
27979,Salix,alba,tristis,5,,"PELICAN, LE","29154",Salix alba,(PELI-2),,,,,,,
27980,Thuja,occidentalis,nigra,5,,"PELICAN, LE","29155",Thuja occidentalis,(PELI-2),,,,,,,
27981,Thuja,occidentalis,nigra,5,,"PELICAN, LE","29156",Thuja occidentalis,(PELI-2),,,,,,,
27982,Thuja,occidentalis,nigra,5,,"PELICAN, LE","29157",Thuja occidentalis,(PELI-2),,,,,,,
27983,Quercus,rubra,,5,,"PELICAN, LE","29158",Quercus rubra,(PELI-2),,,,,,,
27984,Tsuga,canadensis,,5,,"PELICAN, LE","29159",Tsuga canadensis,(PELI-1),,,,,,,
27985,Tsuga,canadensis,,5,,"PELICAN, LE","29160",Tsuga canadensis,(PELI-1),,,,,,,
27986,Quercus,rubra,,5,,"PELICAN, LE","29161",Quercus rubra,(PELI-2),,,,,,,
27987,Celtis,occidentalis,,5,,"PELICAN, LE","29162",Celtis occidentalis,(PELI-2),,,,,,,
27988,Celtis,occidentalis,,5,,"PELICAN, LE","29163",Celtis occidentalis,(PELI-2),,,,,,,
27989,Celtis,occidentalis,,5,,"PELICAN, LE","29164",Celtis occidentalis,(PELI-2),,,,,,,
27990,Salix,pentendra,prairie reflexion,5,,"PELICAN, LE","29165",Salix pentandra,(PELI-2),,,,,,,
27991,Salix,pentendra,prairie reflexion,5,,"PELICAN, LE","29166",Salix pentandra,(PELI-2),,,,,,,
27992,Tsuga,canadensis,,5,,"PELICAN, LE","29167",Tsuga canadensis,(PELI-1),,,,,,,
27993,Corylus,colurna,,5,,"PELICAN, LE","29168",Corylus colurna,(PELI-1),,,,,,,
27994,Corylus,colurna,,5,,"PELICAN, LE","29169",Corylus colurna,(PELI-2),,,,,,,
27995,Corylus,colurna,,5,,"PELICAN, LE","29170",Corylus colurna,(PELI-2),,,,,,,
27996,Quercus,muehlenbergii,,5,,"PELICAN, LE","29171",Quercus muehlenbergii,(PELI-2),,,,,,,
27997,Celtis,occidentalis,,5,,"PELICAN, LE","29172",Celtis occidentalis,(PELI-2),,,,,,,
27998,Betula,alleghaniensis,tiges multiples,5,,"PELICAN, LE","29173",Betula alleghaniensis,(PELI-2),,,,,,,
27999,Salix,pentendra,prairie reflexion,5,,"PELICAN, LE","29174",Salix pentandra,(PELI-2),,,,,,,
28000,Corylus,colurna,,5,,"PELICAN, LE","29175",Corylus colurna,(PELI-1),,,,,,,
28001,Betula,nigra,,5,,"PELICAN, LE","29176",Betula nigra,(PELI-2),,,,,,,
28002,Betula,nigra,,5,,"PELICAN, LE","29177",Betula nigra,(PELI-2),,,,,,,
28003,Betula,alleghaniensis,,5,,"PELICAN, LE","29178",Betula alleghaniensis,(PELI-2),,,,,,,
28004,Betula,alleghaniensis,tiges multiples,5,,"PELICAN, LE","29179",Betula alleghaniensis,(PELI-2),,,,,,,
28005,Salix,nigra,,5,,"PELICAN, LE","29180",Salix nigra,(PELI-2),,,,,,,
28006,Betula,nigra,heritage,5,,"PELICAN, LE","29181",Betula nigra,(PELI-2),,,,,,,
28007,Aesculus,flava,yellow buckeye,5,,"PELICAN, LE","29182",Aesculus flava,(PELI-2),,,,,,,
28008,Aesculus,flava,yellow buckeye,5,,"PELICAN, LE","29183",Aesculus flava,(PELI-2),,,,,,,
28009,Aesculus,flava,yellow buckeye,5,,"PELICAN, LE","29184",Aesculus flava,(PELI-2),,,,,,,
28010,Aesculus,glabra,,5,,"PELICAN, LE","29185",Aesculus glabra,(PELI-2),,,,,,,
28011,Aesculus,flava,yellow buckeye,5,,"PELICAN, LE","29186",Aesculus flava,(PELI-2),,,,,,,
28012,Populus,deltoides,siouxland,5,,"PELICAN, LE","29187",Populus deltoides,(PELI-2),,,,,,,
28013,Juglans,cinerea,,5,,"PELICAN, LE","29188",Juglans cinerea,(PELI-2),,,,,,,
28014,Corylus,colurna,,5,,"PELICAN, LE","29189",Corylus colurna,(PELI-2),,,,,,,
28556,Cercis,canadensis,tiges multiples,5,,ROSEMONT/GARNIER,"29755",Cercis canadensis,MARQ-1,,,,,,,
28788,Pinus,nigra,austriaca,5,,PÈRE MARQUETTE,"29989",Pinus nigra,MARQ-2,,,,,,,
28791,Picea,pungens,glauca,5,,PÈRE MARQUETTE,"29993",Picea pungens,MARQ-2,,,,,,,
28792,Liriodendron,tulipifera,,5,,PÈRE MARQUETTE,"29994",Liriodendron tulipifera,MARQ-2,,,,,,,
28793,Catalpa,speciosa,,5,,PÈRE MARQUETTE,"29995",Catalpa speciosa,MARQ-2,,,,,,,
28794,Fagus,sylvatica,,5,,PÈRE MARQUETTE,"29996",Fagus sylvatica,MARQ-2,,,,,,,
28795,Celtis,occidentalis,,5,,PÈRE MARQUETTE,"29997",Celtis occidentalis,MARQ-2,,,,,,,
28810,Celtis,occidentalis,,5,,PÈRE MARQUETTE,"30012",Celtis occidentalis,MARQ-1,,,,,,,
28811,Picea,abies,,5,,PÈRE MARQUETTE,"30013",Picea abies,MARQ-1,,,,,,,
28812,Picea,abies,,5,,PÈRE MARQUETTE,"30014",Picea abies,MARQ-1,,,,,,,
28813,Picea,abies,,5,,PÈRE MARQUETTE,"30015",Picea abies,MARQ-1,,,,,,,
28814,Cercidiphyllum,japonicum,,5,,PÈRE MARQUETTE,"30016",Cercidiphyllum japonicum,MARQ-1,,,,,,,
28815,Quercus,x,atwood (jordan,5,,PÈRE MARQUETTE,"30017",Quercus sp,MARQ-1,,,,,,,
28816,Elaeagnus,angustifolia,,5,,PÈRE MARQUETTE,"30018",Elaeagnus angustifolia,MARQ-1,,,,,,,
28817,Picea,abies,,5,,PÈRE MARQUETTE,"30019",Picea abies,MARQ-1,,,,,,,
28818,Elaeagnus,angustifolia,,5,,PÈRE MARQUETTE,"30020",Elaeagnus angustifolia,MARQ-1,,,,,,,
28819,Cercis,canadensis,tiges multiples,5,,PÈRE MARQUETTE,"30021",Cercis canadensis,MARQ-1,,,,,,,
28820,Cercidiphyllum,japonicum,,5,,PÈRE MARQUETTE,"30023",Cercidiphyllum japonicum,MARQ-1,,,,,,,
28824,Aesculus,hippocastanum,baumanii,5,,PÈRE MARQUETTE,"30027",Aesculus hippocastanum,MARQ-1,,,,,,,
28825,Amelanchier,canadensis,,5,,PÈRE MARQUETTE,"30028",Amelanchier canadensis,MARQ-1,,,,,,,
28826,Quercus,macrocarpa,,5,,PÈRE MARQUETTE,"30029",Quercus macrocarpa,MARQ-1,,,,,,,
28852,Gymnocladus,dioicus,,5,,PÈRE MARQUETTE,"30059",Gymnocladus dioicus,MARQ-2,,,,,,,
28853,Celtis,occidentalis,,5,,PÈRE MARQUETTE,"30060",Celtis occidentalis,MARQ-2,,,,,,,
28854,Picea,abies,,5,,PÈRE MARQUETTE,"30061",Picea abies,MARQ-2,,,,,,,
28855,Thuja,occidentalis,nigra,5,,PÈRE MARQUETTE,"30062",Thuja occidentalis,MARQ-2,,,,,,,
28856,Thuja,occidentalis,nigra,5,,PÈRE MARQUETTE,"30063",Thuja occidentalis,MARQ-2,,,,,,,
28857,Catalpa,speciosa,,5,,PÈRE MARQUETTE,"30064",Catalpa speciosa,MARQ-2,,,,,,,
28858,Aesculus,glabra,,5,,PÈRE MARQUETTE,"30065",Aesculus glabra,MARQ-2,,,,,,,
28859,Aesculus,glabra,,5,,PÈRE MARQUETTE,"30066",Aesculus glabra,MARQ-2,,,,,,,
28862,Juglans,nigra,,5,,PÈRE MARQUETTE,"30069",Juglans nigra,MARQ-2,,,,,,,
28863,Cercis,canadensis,tiges multiples,5,,PÈRE MARQUETTE,"30070",Cercis canadensis,MARQ-2,,,,,,,
28881,Cercis,canadensis,,5,,PÈRE MARQUETTE,"30088",Cercis canadensis,MARQ-2,,,,,,,
28884,Tilia,americana,,5,,PÈRE MARQUETTE,"30091",Tilia americana,MARQ-1,,,,,,,
30002,Quercus,macrocarpa,,5,,"PELICAN, LE","31279",Quercus macrocarpa,(PELI-2),,,,,,,
30003,Carpinus,caroliniana,,5,,"PELICAN, LE","31280",Carpinus caroliniana,(PELI-2),,,,,,,
30006,Cercis,canadensis,,5,,"PELICAN, LE","31283",Cercis canadensis,(PELI-2),,,,,,,
30007,Prunus,serotina,,5,,"PELICAN, LE","31284",Prunus serotina,(PELI-2),,,,,,,
30044,Betula,alleghaniensis,,5,,PÈRE MARQUETTE,"31322",Betula alleghaniensis,MARQ-1,,,,,,,
30070,Carpinus,caroliniana,,5,,PÈRE MARQUETTE,"31356",Carpinus caroliniana,MARQ-1,,,,,,,
30071,Tsuga,canadensis,,5,,PÈRE MARQUETTE,"31357",Tsuga canadensis,MARQ-1,,,,,,,
30249,Carya,cordiformis,,5,,PÈRE MARQUETTE,"31542",Carya cordiformis,MARQ-2,,,,,,,
30252,Malus,sp.,x adstringens,5,,PÈRE MARQUETTE,"31545",Malus sp,MARQ-1,,,,,,,
30253,Amelanchier,canadensis,,5,,PÈRE MARQUETTE,"31546",Amelanchier canadensis,MARQ-1,,,,,,,
30254,Celtis,occidentalis,,5,,"PELICAN, LE","31547",Celtis occidentalis,(PELI-1),,,,,,,
30255,Acer,saccharinum,lutescens,6,,"PELICAN, LE","31548",Acer saccharinum,(PELI-1),,,,,,,
41055,Acer,platanoides,columnare,27,,SIR-WILFRID-LAURIER,"42730",Acer platanoides,WILF-1,Present,"34.6,17.6",12.5,,,true,true
41056,Acer,platanoides,columnare,25,,SIR-WILFRID-LAURIER,"42731",Acer platanoides,WILF-1,,"32.8,6.7,7.7",11,,,true,true
41057,Acer,platanoides,columnare,27,,SIR-WILFRID-LAURIER,"42732",Acer platanoides,WILF-1,Present,"21.8,5.6,12.5,11.4",10.3,,,true,true
41058,Acer,platanoides,columnare,20,,SIR-WILFRID-LAURIER,"42733",Acer platanoides,WILF-1,Present,"23.7,8.3,6.9,3.3",11.6,,,true,true
41059,Acer,platanoides,columnare,28,,SIR-WILFRID-LAURIER,"42734",Acer platanoides,WILF-1,Present,"25,17.9,10.5",10.8,,,true,true
41060,Acer,platanoides,columnare,21,,SIR-WILFRID-LAURIER,"42735",Acer platanoides,WILF-1,Present,"22.5,7.5",10.6,,,true,true
41061,Acer,platanoides,columnare,28,,SIR-WILFRID-LAURIER,"42736",Acer platanoides,WILF-1,,"34.5,13.2,17.5",10.8,,,true,true
41062,Acer,platanoides,columnare,23,,SIR-WILFRID-LAURIER,"42737",Acer platanoides,WILF-1,Present,"25.1,4.5,9.1",11.3,,,true,true
41063,Acer,platanoides,columnare,21,,SIR-WILFRID-LAURIER,"42738",Acer platanoides,WILF-1,Present,"34.9",11,,,true,true
41161,Fraxinus,pennsylvanica,patmore,24,,SIR-WILFRID-LAURIER,"42841",Fraxinus pennsylvanica,WILF-1,,,,,,,
41162,Fraxinus,pennsylvanica,patmore,30,,SIR-WILFRID-LAURIER,"42842",Fraxinus pennsylvanica,WILF-1,,,,,,,
41163,Fraxinus,pennsylvanica,patmore,25,,SIR-WILFRID-LAURIER,"42843",Fraxinus pennsylvanica,WILF-1,,,,,,,
41164,Fraxinus,pennsylvanica,patmore,30,,SIR-WILFRID-LAURIER,"42844",Fraxinus pennsylvanica,WILF-1,,,,,,,
41165,Fraxinus,pennsylvanica,patmore,30,,SIR-WILFRID-LAURIER,"42845",Fraxinus pennsylvanica,WILF-1,Present,"35",19.3,,,true,true
41166,Fraxinus,pennsylvanica,patmore,25,,SIR-WILFRID-LAURIER,"42846",Fraxinus pennsylvanica,WILF-1,Present,"28.6",19.3,,,false,true
41416,Tilia,cordata,,63,,SIR-WILFRID-LAURIER,"43096",Tilia cordata,WILF-2,Present,"64.9",22,,,true,true
41448,Acer,saccharinum,,49,,SIR-WILFRID-LAURIER,"43129",Acer saccharinum,WILF-2,Present,"50.7",19.3,,,true,true
41449,Acer,saccharinum,,51,,SIR-WILFRID-LAURIER,"43130",Acer saccharinum,WILF-2,Present,"53.2",15.1,,,true,true
41450,Acer,saccharinum,,72,,SIR-WILFRID-LAURIER,"43131",Acer saccharinum,WILF-2,Present,"74.2",12.2,,,true,true
41451,Acer,saccharinum,,99,,SIR-WILFRID-LAURIER,"43132",Acer saccharinum,WILF-2,Present,"103.5",18.1,,,true,true
41452,Acer,saccharinum,,61,,SIR-WILFRID-LAURIER,"43133",Acer saccharinum,WILF-2,Present,"64.6",30.4,,,true,true
41456,Acer,saccharinum,,111,,SIR-WILFRID-LAURIER,"43137",Acer saccharinum,WILF-2,Present,"115.3",21.2,,,true,true
41457,Acer,saccharinum,,80,,SIR-WILFRID-LAURIER,"43138",Acer saccharinum,WILF-2,,,,,,,
41458,Acer,saccharinum,,6,,SIR-WILFRID-LAURIER,"43139",Acer saccharinum,WILF-2,,"15.9",9.4,,,true,true
41459,Acer,saccharinum,,48,,SIR-WILFRID-LAURIER,"43140",Acer saccharinum,WILF-2,,"54.1",16.7,,,true,true
41460,Acer,saccharinum,,102,,SIR-WILFRID-LAURIER,"43141",Acer saccharinum,WILF-2,,"103.5",15.9,,,true,true
41466,Acer,saccharinum,,73,,SIR-WILFRID-LAURIER,"43147",Acer saccharinum,WILF-2,Present,"72.8",16,,,true,true
41467,Acer,saccharinum,,61,,SIR-WILFRID-LAURIER,"43148",Acer saccharinum,WILF-2,Present,"63.9",33.9,,,true,true
41468,Acer,saccharinum,,51,,SIR-WILFRID-LAURIER,"43149",Acer saccharinum,WILF-2,Present,"53.2",29,,,true,true
41469,Acer,saccharinum,,63,,SIR-WILFRID-LAURIER,"43150",Acer saccharinum,WILF-2,Present,"65.1",34.8,,,true,true
41470,Acer,saccharinum,,33,,SIR-WILFRID-LAURIER,"43151",Acer saccharinum,WILF-2,Present,"36.4",37.9,,,true,true
41471,Acer,saccharinum,,42,,SIR-WILFRID-LAURIER,"43152",Acer saccharinum,WILF-2,Present,"41.7",28.8,,,true,true
41472,Acer,saccharinum,,83,,SIR-WILFRID-LAURIER,"43153",Acer saccharinum,WILF-2,Absent,,,,,,
41473,Acer,saccharinum,,22,,SIR-WILFRID-LAURIER,"43154",Acer saccharinum,WILF-2,Present,"84.9",33.5,,,true,true
41480,Betula,alleghaniensis,,5,,SIR-WILFRID-LAURIER,"43161",Betula alleghaniensis,WILF-2,Present,"8.4",5.2,,,true,true
41481,Acer,saccharinum,,63,,SIR-WILFRID-LAURIER,"43162",Acer saccharinum,WILF-2,Present,"68.8",24.7,,,true,true
41482,Acer,saccharinum,,54,,SIR-WILFRID-LAURIER,"43163",Acer saccharinum,WILF-2,Present,"58.5",31.6,,,true,true
41483,Acer,saccharinum,,116,,SIR-WILFRID-LAURIER,"43164",Acer saccharinum,WILF-2,Present,"123",29.7,,,true,true
41484,Acer,saccharinum,,53,,SIR-WILFRID-LAURIER,"43165",Acer saccharinum,WILF-2,Present,"56",32.9,,,true,true
41485,Acer,saccharinum,,44,,SIR-WILFRID-LAURIER,"43166",Acer saccharinum,WILF-2,Present,"65.4",18.2,,,true,true
41486,Acer,saccharinum,,63,,SIR-WILFRID-LAURIER,"43167",Acer saccharinum,WILF-2,Present,"53.6",35.9,,,true,true
41487,Acer,saccharinum,,53,,SIR-WILFRID-LAURIER,"43168",Acer saccharinum,WILF-2,,,,,,,
41488,Acer,saccharinum,,64,,SIR-WILFRID-LAURIER,"43169",Acer saccharinum,WILF-2,Present,"65.35",32.5,,,true,true
41489,Acer,saccharinum,,62,,SIR-WILFRID-LAURIER,"43170",Acer saccharinum,WILF-2,Present,"65.1",38.8,,,true,true
41490,Acer,saccharinum,,71,,SIR-WILFRID-LAURIER,"43171",Acer saccharinum,WILF-2,Present,"70.7",25.7,,,true,true
41492,Acer,saccharinum,,52,,SIR-WILFRID-LAURIER,"43173",Acer saccharinum,WILF-2,Present,"52.7",17.3,,,true,true
41493,Acer,saccharinum,,62,,SIR-WILFRID-LAURIER,"43174",Acer saccharinum,WILF-2,Present,"64.5",27,,,true,true
41494,Acer,saccharinum,,43,,SIR-WILFRID-LAURIER,"43175",Acer saccharinum,WILF-2,Present,"44.7",20.4,,,true,true
41495,Acer,saccharinum,,54,,SIR-WILFRID-LAURIER,"43176",Acer saccharinum,WILF-2,Present,"55.6",24.8,,,true,true
41521,Acer,saccharinum,,48,,SIR-WILFRID-LAURIER,"43202",Acer saccharinum,WILF-2,Present,"48.9",18,,,true,true
41522,Acer,saccharinum,,61,,SIR-WILFRID-LAURIER,"43203",Acer saccharinum,WILF-2,Present,"66.2",21.6,,,true,true
41523,Acer,saccharinum,,77,,SIR-WILFRID-LAURIER,"43204",Acer saccharinum,WILF-2,Present,"80",21.5,,,true,true
41531,Acer,saccharinum,,67,,SIR-WILFRID-LAURIER,"43212",Acer saccharinum,WILF-2,Present,"68.7",21.4,,,true,true
41575,Acer,saccharinum,,60,,SIR-WILFRID-LAURIER,"43256",Acer saccharinum,WILF-1,Present,"62.5",23.6,,,true,true
41576,Acer,saccharinum,,78,,SIR-WILFRID-LAURIER,"43257",Acer saccharinum,WILF-1,Present,"78.7",19.3,,,true,true
41577,Acer,platanoides,,41,,SIR-WILFRID-LAURIER,"43258",Acer platanoides,WILF-1,Present,"42.3",18.4,,,true,true
41578,Acer,saccharinum,,49,,SIR-WILFRID-LAURIER,"43259",Acer saccharinum,WILF-1,,,,,,,
41579,Acer,saccharinum,,77,,SIR-WILFRID-LAURIER,"43260",Acer saccharinum,WILF-1,,,,,,,
41580,Acer,saccharinum,,48,,SIR-WILFRID-LAURIER,"43261",Acer saccharinum,WILF-1,,,,,,,
41581,Acer,saccharinum,,82,,SIR-WILFRID-LAURIER,"43262",Acer saccharinum,WILF-1,,,,,,,
41582,Acer,saccharinum,,44,,SIR-WILFRID-LAURIER,"43263",Acer saccharinum,WILF-1,,,,,,,
41583,Acer,saccharinum,,61,,SIR-WILFRID-LAURIER,"43264",Acer saccharinum,WILF-1,,,,,,,
41585,Acer,platanoides,,30,,SIR-WILFRID-LAURIER,"43266",Acer platanoides,WILF-1,Present,"37.7",16.6,,,true,true
41586,Acer,saccharinum,,33,,SIR-WILFRID-LAURIER,"43267",Acer saccharinum,WILF-1,Present,"35",16.1,,"Bark looks like silver maple but leaves have special colouring, pale with dark around veins",true,true
41587,Acer,platanoides,,25,,SIR-WILFRID-LAURIER,"43268",Acer platanoides,WILF-1,Present,"29.9",12.4,,,true,true
41588,Acer,platanoides,,48,,SIR-WILFRID-LAURIER,"43269",Acer platanoides,WILF-1,Present,"49.6",16.6,,,true,true
41611,Ginkgo,biloba,,5,,SIR-WILFRID-LAURIER,"43292",Ginkgo biloba,WILF-1,Present,"5",4.9,,,true,true
41613,Fraxinus,americana,,28,,SIR-WILFRID-LAURIER,"43294",Fraxinus americana,WILF-1,Present,"31",16.5,,,true,true
41614,Fraxinus,americana,,28,,SIR-WILFRID-LAURIER,"43295",Fraxinus americana,WILF-1,Present,"30.1",15.9,,,true,true
41615,Fraxinus,americana,,33,,SIR-WILFRID-LAURIER,"43296",Fraxinus americana,WILF-1,Present,"38.1",17.2,,,true,true
41617,Gymnocladus,dioicus,,25,,SIR-WILFRID-LAURIER,"43298",Gymnocladus dioicus,WILF-1,Present,"29.3",16.5,,,true,true
41622,Acer,platanoides,,54,,SIR-WILFRID-LAURIER,"43303",Acer platanoides,WILF-1,Present,"56.3",18.1,,,true,true
41623,Acer,platanoides,,59,,SIR-WILFRID-LAURIER,"43304",Acer platanoides,WILF-1,Present,"63.8",19,,,true,true
41624,Acer,saccharum,,5,,SIR-WILFRID-LAURIER,"43305",Acer saccharum,WILF-1,Present,"7.3",6.1,,,true,true
41625,Acer,platanoides,,31,,SIR-WILFRID-LAURIER,"43306",Acer platanoides,WILF-1,Present,"37",17.9,,,true,true
41626,Acer,ginnala,,17,,SIR-WILFRID-LAURIER,"43307",Acer tataricum,WILF-1,Present,"16.3,10.4",7.2,,,true,true
41627,Acer,saccharinum,,40,,SIR-WILFRID-LAURIER,"43308",Acer saccharinum,WILF-1,Present,"50.7",15.8,,,true,true
41628,Acer,saccharinum,,40,,SIR-WILFRID-LAURIER,"43309",Acer saccharinum,WILF-1,Present,"49.2",18.3,,,true,true
41651,Acer,platanoides,columnare,21,,SIR-WILFRID-LAURIER,"43334",Acer platanoides,WILF-1,Present,"25.9,8.5,5.5,5.2",9.6,,,true,true
41652,Acer,platanoides,columnare,19,,SIR-WILFRID-LAURIER,"43335",Acer platanoides,WILF-1,Present,"22.4",10.1,,,true,true
41653,Acer,platanoides,columnare,24,,SIR-WILFRID-LAURIER,"43336",Acer platanoides,WILF-1,Present,"32.2",9.4,,,true,true
42955,Acer,saccharinum,pyramidalis,12,,SIR-WILFRID-LAURIER,"44664",Acer saccharinum,WILF-2,Present,"13.2",11.3,,,true,true
42960,Acer,saccharum,,18,,SIR-WILFRID-LAURIER,"44669",Acer saccharum,WILF-1,Present,"24.2",13.2,,,true,true
42961,Acer,saccharum,,16,,SIR-WILFRID-LAURIER,"44670",Acer saccharum,WILF-1,Present,"20.9",9.8,,,true,true
42968,Juglans,cinerea,,26,,SIR-WILFRID-LAURIER,"44677",Juglans cinerea,WILF-1,Present,"26.6",11,,,true,true
43004,Quercus,robur,fastigiata,27,,SIR-WILFRID-LAURIER,"44713",Quercus robur,WILF-1,Present,"24.1,2,3,2,2,1,2,1,1,2,2",9.6,,,false,false
43005,Quercus,robur,fastigiata,19,,SIR-WILFRID-LAURIER,"44714",Quercus robur,WILF-1,,"31.2,2,2,3,1,1.5,2,3,2,2,2,1,1,1,1,2,1,1,1,1,1,1",9.6,,,false,false
43006,Quercus,robur,fastigiata,21,,SIR-WILFRID-LAURIER,"44715",Quercus robur,WILF-1,Present,"21,3,2,4,4,2,4,2,3",10,,,false,false
43007,Quercus,robur,fastigiata,25,,SIR-WILFRID-LAURIER,"44716",Quercus robur,WILF-1,Present,"30,2,4,2,2,6,4,3",10,,,false,false
45095,Ulmus,americana,brandon,25,,SIR-WILFRID-LAURIER,"46845",Ulmus americana,WILF-1,Present,"31.9",13.6,,,true,true
45096,Ulmus,americana,brandon,22,,SIR-WILFRID-LAURIER,"46846",Ulmus americana,WILF-1,Present,"30.3",12,,,true,true
45097,Ulmus,americana,brandon,19,,SIR-WILFRID-LAURIER,"46847",Ulmus americana,WILF-1,Present,"26",13.5,,,true,true
45098,Phellodendron,amurensis,,8,,SIR-WILFRID-LAURIER,"46848",Phellodendron amurense,WILF-1,Present,"8.6",5.3,,,true,true
45391,Gleditsia,triacanthos,skyline,16,,SIR-WILFRID-LAURIER,"47155",Gleditsia triacanthos,WILF-2,Present,"29",9.1,,,true,true
45392,Acer,saccharinum,,11,,SIR-WILFRID-LAURIER,"47156",Acer saccharinum,WILF-2,Present,"19.9",10.6,,,true,true
45406,Gleditsia,triacanthos,skyline,15,,SIR-WILFRID-LAURIER,"47177",Gleditsia triacanthos,WILF-1,Present,"24.3",11.3,,,false,true
45815,Tilia,cordata,greenspire,14,,SIR-WILFRID-LAURIER,"47586",Tilia cordata,WILF-1,Present,"22.8",9.6,,,true,true
45833,Aesculus,hippocastanum,,5,,SIR-WILFRID-LAURIER,"47604",Aesculus hippocastanum,WILF-2,,"21.3",5.9,,,true,true
45834,Acer,saccharinum,,13,,SIR-WILFRID-LAURIER,"47605",Acer saccharinum,WILF-2,Present,"18.8",11.8,,,true,true
45835,Acer,saccharinum,,11,,SIR-WILFRID-LAURIER,"47606",Acer saccharinum,WILF-2,,"20",14.4,,,true,true
45836,Acer,saccharinum,,19,,SIR-WILFRID-LAURIER,"47607",Acer saccharinum,WILF-2,,"27.8",15.6,,,true,true
45837,Acer,saccharinum,,18,,SIR-WILFRID-LAURIER,"47608",Acer saccharinum,WILF-2,,"29.8",17.6,,,true,true
45838,Acer,saccharinum,,19,,SIR-WILFRID-LAURIER,"47609",Acer saccharinum,WILF-2,,"31.7",19.2,,,true,true
