fid,id,Site,dbh_2025,height2025,Species,Comments,lat,lon,Source,Measured_height,Measured_DBH,species_clean
100,,LOYO-1,"1.2",2.98,(Betula allegheniensis),,,,Soverdi,true,true,Betula alleghaniensis
101,,LOYO-1,"2.5",2.9,(Sugar maple),,,,Soverdi,true,true,Acer saccharum
102,,LOYO-1,"1.4,1",3.1,Amelanchier canadensis,,,,Soverdi,true,true,Amelanchier canadensis
103,,LOYO-1,"1.2,1.2",2.64,(Cretagus crus-galli ),,,,Soverdi,true,true,Cretagus crus-galli 
104,,LOYO-1,"1.3",2.8,Tilia americana,Looking bad,,,Soverdi,true,true,Tilia americana
105,,LOYO-1,"1.1",2.3,Quercus bicolor,,,,Soverdi,true,true,Quercus bicolor
106,,LOYO-1,"1.2",2.6,Ostrya virginiana,,,,Soverdi,true,true,Ostrya virginiana
107,,LOYO-1,"1.2",2.56,Sorbus americana,,,,Soverdi,true,true,Sorbus americana
108,,LOYO-1,"0.6",2.1,Ulmus americana,,,,Soverdi,true,true,Ulmus americana
109,,LOYO-1,"2.3",2.9,Amelanchier canadensis,,,,Soverdi,true,true,Amelanchier canadensis
110,,LOYO-1,"2.3",2.4,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
111,,LOYO-1,"1.2",2.5,(Striped maple),,,,Soverdi,true,true,Acer pensylvanicum
112,,LOYO-1,"2.3",3.1,(Sugar maple),,,,Soverdi,true,true,Acer saccharum
113,,LOYO-1,"2.1",3.1,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
114,,LOYO-1,"2.3",3.1,Quercus rubra,,,,Soverdi,true,true,Quercus rubra
115,,LOYO-1,"2.1",2.8,(Sugar maple),Looks bad,,,Soverdi,true,true,Acer saccharum
116,,LOYO-1,"1.1",2.4,Crataegus crus-galli,,,,Soverdi,true,true,Crataegus crus-galli
117,,LOYO-1,"1.4",2.5,Sorbus americana,Very bad,,,Soverdi,true,true,Sorbus americana
118,,LOYO-1,"1.3",2.45,Tilia americana,,,,Soverdi,true,true,Tilia americana
119,,LOYO-1,"1.2",2.1,(Carya cordiformis ),,,,Soverdi,true,true,Carya cordiformis 
120,,LOYO-1,"1.0",2.7,(Betulah alleghensis ),,,,Soverdi,true,true,Betulah alleghensis 
121,,LOYO-1,"1.5",2.8,Quercus rubra,,,,Soverdi,true,true,Quercus rubra
122,,LOYO-1,"1.5",3.1,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
123,,LOYO-1,"1.3",2.9,Sorbus americana,,,,Soverdi,true,true,Sorbus americana
124,,LOYO-1,"1.4",2.55,Tilia americana,,,,Soverdi,true,true,Tilia americana
125,,LOYO-1,"0.8",2.1,(Cretagus crus-galli),,,,Soverdi,true,true,Crataegus crus-galli
126,,LOYO-1,"0.8",2.4,Ulmus americana,,,,Soverdi,true,true,Ulmus americana
127,,LOYO-1,"0.8",2.2,Carya cordiformis,,,,Soverdi,true,true,Carya cordiformis
128,,LOYO-1,"1.6",3,Sorbus americana,,,,Soverdi,true,true,Sorbus americana
129,,LOYO-1,"1.6",3,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
130,,LOYO-1,"1.7",3,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
131,,LOYO-1,"1.6",2.3,Quercus rubra,,,,Soverdi,true,true,Quercus rubra
132,,LOYO-1,"1.3",3,Sorbus americana,,,,Soverdi,true,true,Sorbus americana
133,,LOYO-1,"1.4",2.45,(Tilia americana ),,,,Soverdi,true,true,Tilia americana 
134,,LOYO-1,"1.0",2.4,Tilia americana,,,,Soverdi,true,true,Tilia americana
135,,LOYO-1,"0.9,1.2",2.3,(Cretagus crus-galli),,,,Soverdi,true,true,Crataegus crus-galli
136,,LOYO-1,"0.8",2.4,Ulmus americana,,,,Soverdi,true,true,Ulmus americana
137,,LOYO-1,"0.8",2.1,(Striped maple),,,,Soverdi,true,false,Acer pensylvanicum
138,,LOYO-1,"1.7",2.8,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
139,,LOYO-1,"1.1",2.5,Amelanchier canadensis,,,,Soverdi,true,true,Amelanchier canadensis
140,,LOYO-1,"1.2",2.9,Sorbus americana,,,,Soverdi,true,true,Sorbus americana
141,,LOYO-1,"1.5",2.8,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
142,,LOYO-1,"1.5",2.9,Amelanchier canadensis,,,,Soverdi,true,true,Amelanchier canadensis
143,,LOYO-1,"1.8",3.2,Sorbus americana,,,,Soverdi,true,true,Sorbus americana
144,,LOYO-1,"0.9,0.8",2.35,(Populus tremuloides ),,,,Soverdi,true,true,Populus tremuloides 
145,,LOYO-1,"1.1",2.5,Tilia americana,,,,Soverdi,true,true,Tilia americana
146,,LOYO-1,"1.9",3,Sorbus americana,,,,Soverdi,true,true,Sorbus americana
147,,LOYO-1,"2.4",3.1,Liriodendron tulipifera,,,,Soverdi,true,true,Liriodendron tulipifera
148,,LOYO-1,"1",2.4,(Acer pensylvanica),,,,Soverdi,true,true,Acer pensylvanicum
149,,LOYO-1,"1.5",2.8,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
150,,LOYO-1,"1.7",2.1,(Quercus rubra ),,,,Soverdi,true,true,Quercus rubra 
151,,LOYO-1,"2",2.6,(Amelanchier canadensis ),,,,Soverdi,true,true,Amelanchier canadensis 
152,,LOYO-1,"1.7",2.8,Quercus rubra,,,,Soverdi,true,true,Quercus rubra
153,,LOYO-1,"1.1",2.7,(Acer pensylvanica),,,,Soverdi,true,true,Acer pensylvanicum
154,,LOYO-1,"1.5",2.7,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
155,,LOYO-1,"1.9",2.9,Liriodendron tulipifera,,,,Soverdi,true,true,Liriodendron tulipifera
156,,LOYO-1,"1.6",2.4,(Cretagus crus-galli ),,,,Soverdi,true,true,Cretagus crus-galli 
157,,LOYO-1,"1.6",2.7,Sorbus americana,,,,Soverdi,true,false,Sorbus americana
158,,LOYO-1,"1.4",2.3,(Cretagus crus-galli ),,,,Soverdi,true,true,Cretagus crus-galli 
159,,LOYO-1,"1.9",3.1,Quercus bicolor,,,,Soverdi,true,true,Quercus bicolor
160,,LOYO-1,"1.4",2.7,(Amelanchier canadensis ),,,,Soverdi,true,true,Amelanchier canadensis 
161,,LOYO-1,"1.6",2.65,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
162,,LOYO-1,"0.7",2.4,(Ulmus americana ),Dead,,,Soverdi,true,true,Ulmus americana 
163,,LOYO-1,"1.1",2.2,(Tilia americana ),Dead,,,Soverdi,true,true,Tilia americana 
164,,LOYO-1,"1.3",2.3,(Carya cordiformis ),,,,Soverdi,true,true,Carya cordiformis 
165,,LOYO-1,"1.6",2.9,(Sorbus americana ),,,,Soverdi,true,true,Sorbus americana 
166,,LOYO-1,"1.2",2.45,(Cretagus crus-galli ),,,,Soverdi,true,true,Cretagus crus-galli 
167,,LOYO-1,"1.7",2.4,Populus tremuloides,,,,Soverdi,true,true,Populus tremuloides
168,,LOYO-1,"1.6",2.9,(Sorbus americana ),,,,Soverdi,true,true,Sorbus americana 
169,,LOYO-1,"1.9",2.4,Quercus bicolor,,,,Soverdi,true,true,Quercus bicolor
170,,LOYO-1,"1.5",2.7,(Amelanchier canadensis ),,,,Soverdi,true,true,Amelanchier canadensis 
171,,LOYO-1,"1.4",2.3,Gymnocladus dioicus,,,,Soverdi,true,true,Gymnocladus dioicus
172,,LOYO-1,"1.3",2.7,(Betula alleghensis ),,,,Soverdi,true,true,Betula alleghensis 
173,,LOYO-1,"1.7",2.9,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
174,,LOYO-1,"1.6",2.5,(Quercus rubra ),,,,Soverdi,true,true,Quercus rubra 
175,,LOYO-1,"1.7",3,Carpinus caroliniana,,,,Soverdi,true,true,Carpinus caroliniana
176,,LOYO-1,"2.3",3.75,Quercus rubra,,,,Soverdi,true,true,Quercus rubra
177,,LOYO-1,"1.4",2.2,(Populus tremuloides ),,,,Soverdi,true,true,Populus tremuloides 
178,,LOYO-1,"1.5",2.7,(Amelanchier canadensis ),,,,Soverdi,true,true,Amelanchier canadensis 
179,,LOYO-1,"1.6",2.7,(Amelanchier canadensis ),,,,Soverdi,true,true,Amelanchier canadensis 
180,,LOYO-1,"4.1",4.7,Betula papyrifera,,,,Soverdi,true,true,Betula papyrifera
181,,LOYO-1,"2.2",2.8,(Carpinus caroliniana ),,,,Soverdi,true,true,Carpinus caroliniana 
182,,LOYO-1,"1.2",2.3,(Tsuga canadensis ),,,,Soverdi,true,true,Tsuga canadensis 
183,,LOYO-1,"77.5",19.9,(Silver maple),,,,Unknown ,false,true,Acer saccharinum
184,,LOYO-1,"37",11.7,Acer platanoides,,,,Unknown,true,true,Acer platanoides
185,,LOYO-1,"64.9",19.5,Acer saccharinum,,,,Unknown ,true,true,Acer saccharinum
186,,LOYO-1,"65.6",16.5,Acer saccharinum,,,,Unknown,true,true,Acer saccharinum
187,,LOYO-1,"47.6",10.2,Acer platanoides,,,,Unknown,true,true,Acer platanoides
188,,LOYO-1,"60",19.9,Acer saccharinum,,,,Unknown,true,true,Acer saccharinum
189,,LOYO-1,"88.2",10.9,Acer negundo,,,,Unknown,true,true,Acer negundo
190,,LOYO-1,"16.1",11.3,Gleditsia triacanthos,,,,Unknown,true,true,Gleditsia triacanthos
191,,LOYO-1,"16.8",11,Gleditsia triacanthos,,,,Unknown,false,true,Gleditsia triacanthos
192,,LOYO-1,"15.8",11,Gleditsia triacanthos,,,,Unknown,false,true,Gleditsia triacanthos
193,,LOYO-1,"20.7",11,Gleditsia triacanthos,,,,Unknown,false,true,Gleditsia triacanthos
194,,LOYO-1,"3, 5,5,2,3,2,1,1,5",3.5,Thuja occidentalis,,,,Unknown,true,false,Thuja occidentalis
195,,LOYO-1,"24.2",12.2,Gleditsia triacanthos,,,,Unknown,true,true,Gleditsia triacanthos
196,,LOYO-1,"5",2.7,Pinus nigra,,,,Unknown ,true,true,Pinus nigra
197,,LOYO-1,"5",2.7,Pinus nigra,,,,Unknown,false,true,Pinus nigra
198,,LOYO-1,"3",2.5,Amelanchier canadensis,Confirm species ,,,Unknown ,false,true,Amelanchier canadensis
199,,LOYO-1,"100",21.8,Populus deltoides,,,,Unknown,true,false,Populus deltoides
200,,LOYO-1,"50",8.7,Acer platanoides,,,,Unknown,true,false,Acer platanoides
201,,LOYO-1,"60,20,20,20",22.7,Populus deltoides,,,,Unknown,true,false,Populus deltoides
202,,LOYO-1,"75",12,Acer saccharinum,,,,Unknown ,false,false,Acer saccharinum
203,,LOYO-1,"90",20,Acer saccharinum,,,,Unknown,false,false,Acer saccharinum
