fid,id,Site,dbh_2025,height2025,Species,Comments,lat,lon,Source,Measured_height,Measured_DBH
"109",,LOYO-1,"2.3",2.9,Amelanchier canadensis,,,,Soverdi,true,true
"110",,LOYO-1,"2.3",2.4,Carpinus caroliniana,,,,Soverdi,true,true
"111",,LOYO-1,"1.2",2.5,(Striped maple),,,,Soverdi,true,true
"112",,LOYO-1,"2.3",3.1,(Sugar maple),,,,Soverdi,true,true
"113",,LOYO-1,"2.1",3.1,Carpinus caroliniana,,,,Soverdi,true,true
"114",,LOYO-1,"2.3",3.1,Quercus rubra,,,,Soverdi,true,true
"115",,LOYO-1,"2.1",2.8,(Sugar maple),Looks bad,,,Soverdi,true,true
"116",,LOYO-1,"1.1",2.4,Crataegus crus-galli,,,,Soverdi,true,true
"117",,LOYO-1,"1.4",2.5,Sorbus americana,Very bad,,,Soverdi,true,true
"118",,LOYO-1,"1.3",2.45,Tilia americana,,,,Soverdi,true,true
"119",,LOYO-1,"1.2",2.1,(Carya cordiformis ),,,,Soverdi,true,true
"120",,LOYO-1,"1.0",2.7,(Betulah alleghensis ),,,,Soverdi,true,true
"121",,LOYO-1,"1.5",2.8,Quercus rubra,,,,Soverdi,true,true
"122",,LOYO-1,"1.5",3.1,Carpinus caroliniana,,,,Soverdi,true,true
"123",,LOYO-1,"1.3",2.9,Sorbus americana,,,,Soverdi,true,true
"124",,LOYO-1,"1.4",2.55,Tilia americana,,,,Soverdi,true,true
"125",,LOYO-1,"0.8",2.1,(Cretagus crus-galli),,,,Soverdi,true,true
"126",,LOYO-1,"0.8",2.4,Ulmus americana,,,,Soverdi,true,true
"127",,LOYO-1,"0.8",2.2,Carya cordiformis,,,,Soverdi,true,true
"128",,LOYO-1,"1.6",3,Sorbus americana,,,,Soverdi,true,true
"129",,LOYO-1,"1.6",3,Carpinus caroliniana,,,,Soverdi,true,true
"130",,LOYO-1,"1.7",3,Carpinus caroliniana,,,,Soverdi,true,true
"131",,LOYO-1,"1.6",2.3,Quercus rubra,,,,Soverdi,true,true
"132",,LOYO-1,"1.3",3,Sorbus americana,,,,Soverdi,true,true
"133",,LOYO-1,"1.4",2.45,(Tilia americana ),,,,Soverdi,true,true
"134",,LOYO-1,"1.0",2.4,Tilia americana,,,,Soverdi,true,true
"135",,LOYO-1,"0.9,1.2",2.3,(Cretagus crus-galli),,,,Soverdi,true,true
"136",,LOYO-1,"0.8",2.4,Ulmus americana,,,,Soverdi,true,true
"137",,LOYO-1,"0.8",2.1,(Striped maple),,,,Soverdi,true,
"138",,LOYO-1,"1.7",2.8,Carpinus caroliniana,,,,Soverdi,true,true
"139",,LOYO-1,"1.1",2.5,Amelanchier canadensis,,,,Soverdi,true,true
"140",,LOYO-1,"1.2",2.9,Sorbus americana,,,,Soverdi,true,true
"141",,LOYO-1,"1.5",2.8,Carpinus caroliniana,,,,Soverdi,true,true
"142",,LOYO-1,"1.5",2.9,Amelanchier canadensis,,,,Soverdi,true,true
"143",,LOYO-1,"1.8",3.2,Sorbus americana,,,,Soverdi,true,true
"144",,LOYO-1,"0.9,0.8",2.35,(Populus tremuloides ),,,,Soverdi,true,true
"145",,LOYO-1,"1.1",2.5,Tilia americana,,,,Soverdi,true,true
"146",,LOYO-1,"1.9",3,Sorbus americana,,,,Soverdi,true,true
"147",,LOYO-1,"2.4",3.1,Liriodendron tulipifera,,,,Soverdi,true,true
"148",,LOYO-1,"1",2.4,(Acer pensylvanica),,,,Soverdi,true,true
"149",,LOYO-1,"1.5",2.8,Carpinus caroliniana,,,,Soverdi,true,true
"150",,LOYO-1,"1.7",2.1,(Quercus rubra ),,,,Soverdi,true,true
"151",,LOYO-1,"2",2.6,(Amelanchier canadensis ),,,,Soverdi,true,true
"152",,LOYO-1,"1.7",2.8,Quercus rubra,,,,Soverdi,true,true
"153",,LOYO-1,"1.1",2.7,(Acer pensylvanica),,,,Soverdi,true,true
"154",,LOYO-1,"1.5",2.7,Carpinus caroliniana,,,,Soverdi,true,true
"155",,LOYO-1,"1.9",2.9,Liriodendron tulipifera,,,,Soverdi,true,true
"156",,LOYO-1,"1.6",2.4,(Cretagus crus-galli ),,,,Soverdi,true,true
"157",,LOYO-1,"1.6",2.7,Sorbus americana,,,,Soverdi,true,
"158",,LOYO-1,"1.4",2.3,(Cretagus crus-galli ),,,,Soverdi,true,true
"159",,LOYO-1,"1.9",3.1,Quercus bicolor,,,,Soverdi,true,true
"160",,LOYO-1,"1.4",2.7,(Amelanchier canadensis ),,,,Soverdi,true,true
"161",,LOYO-1,"1.6",2.65,Carpinus caroliniana,,,,Soverdi,true,true
"162",,LOYO-1,"0.7",2.4,(Ulmus americana ),Dead,,,Soverdi,true,true
"163",,LOYO-1,"1.1",2.2,(Tilia americana ),Dead,,,Soverdi,true,true
"164",,LOYO-1,"1.3",2.3,(Carya cordiformis ),,,,Soverdi,true,true
"165",,LOYO-1,"1.6",2.9,(Sorbus americana ),,,,Soverdi,true,true
"166",,LOYO-1,"1.2",2.45,(Cretagus crus-galli ),,,,Soverdi,true,true
"167",,LOYO-1,"1.7",2.4,Populus tremuloides,,,,Soverdi,true,true
"168",,LOYO-1,"1.6",2.9,(Sorbus americana ),,,,Soverdi,true,true
"169",,LOYO-1,"1.9",2.4,Quercus bicolor,,,,Soverdi,true,true
"170",,LOYO-1,"1.5",2.7,(Amelanchier canadensis ),,,,Soverdi,true,true
"171",,LOYO-1,"1.4",2.3,Gymnocladus dioicus,,,,Soverdi,true,true
"172",,LOYO-1,"1.3",2.7,(Betula alleghensis ),,,,Soverdi,true,true
"173",,LOYO-1,"1.7",2.9,Carpinus caroliniana,,,,Soverdi,true,true
"174",,LOYO-1,"1.6",2.5,(Quercus rubra ),,,,Soverdi,true,true
"175",,LOYO-1,"1.7",3,Carpinus caroliniana,,,,Soverdi,true,true
"176",,LOYO-1,"2.3",3.75,Quercus rubra,,,,Soverdi,true,true
"177",,LOYO-1,"1.4",2.2,(Populus tremuloides ),,,,Soverdi,true,true
"178",,LOYO-1,"1.5",2.7,(Amelanchier canadensis ),,,,Soverdi,true,true
"179",,LOYO-1,"1.6",2.7,(Amelanchier canadensis ),,,,Soverdi,true,true
"180",,LOYO-1,"4.1",4.7,Betula papyrifera,,,,Soverdi,true,true
"181",,LOYO-1,"2.2",2.8,(Carpinus caroliniana ),,,,Soverdi,true,true
"182",,LOYO-1,"1.2",2.3,(Tsuga canadensis ),,,,Soverdi,true,true
"183",,LOYO-1,"77.5",,(Silver maple),,,,Unknown ,,true
"184",,LOYO-1,"37",11.7,Acer platanoides,,,,Unknown,true,true
"185",,LOYO-1,"64.9",19.5,Acer saccharinum,,,,Unknown ,true,true
"186",,LOYO-1,"65.6",16.5,Acer saccharinum,,,,Unknown,true,true
"187",,LOYO-1,"47.6",10.2,Acer platanoides,,,,Unknown,true,true
"188",,LOYO-1,"60",19.9,Acer saccharinum,,,,Unknown,true,true
"189",,,"88.2",10.9,Acer negundo,,,,Unknown,true,true
"190",,,"16.1",11.3,Gleditsia triacanthos,,,,,true,true
"191",,,"16.8",11,Gleditsia triacanthos,,,,,false,true
"192",,,"15.8",11,Gleditsia triacanthos,,,,,,true
"193",,,"20.7",11,Gleditsia triacanthos,,,,,false,true
"194",,,"3, 5,5,2,3,2,1,1,5",3.5,Thuja occidentalis,,,,,true,false
"195",,,"24.2",12.2,Gleditsia triacanthos,,,,,true,true
"196",,,"5",2.7,Pinus nigra,,,,Unknown ,true,true
"197",,,"5",2.7,Pinus nigra,,,,Unknown,,true
"198",,,"3",2.5,Amelanchier canadensis,Confirm species ,,,Unknown ,,true
"199",,,"100",21.8,Populus deltoides,,,,,true,
"200",,,"50",8.7,Acer platanoides,,,,,true,
"201",,,"60,20,20,20",22.7,Populus deltoides,,,,,true,
